Cinema,First day of screening,Screening Days,Title (original),IMDB ID
Ждановский ПКиО / Zhdanovskiĭ PKiO ,15/08/1949,1,Валерий Чкалов,34353
Салют / Saliut,15/08/1949,2,Волга-Волга,30947
Динамо / Dinamo,15/08/1949,5,Встреча в джунглях,239357
Ждановский ПКиО / Zhdanovskiĭ PKiO ,15/08/1949,5,Встреча в джунглях,239357
Колизей / Kolizeĭ,15/08/1949,5,Встреча в джунглях,239357
Метрополь / Metropol',15/08/1949,32,Встреча в джунглях,239357
Москва / Moskva,15/08/1949,5,Встреча в джунглях,239357
Орион / Orion,15/08/1949,5,Встреча в джунглях,239357
Перекоп / Perekop,15/08/1949,5,Встреча в джунглях,239357
Победа / Pobeda,15/08/1949,5,Встреча в джунглях,239357
Призыв / Prizyv,15/08/1949,5,Встреча в джунглях,239357
Родина / Rodina,15/08/1949,10,Встреча в джунглях,239357
Салют / Saliut,15/08/1949,5,Встреча в джунглях,239357
ПКиО Сокольники / PKIO Sokol'niki,15/08/1949,5,Встреча в джунглях,239357
Таганский / Taganskiĭ,15/08/1949,5,Встреча в джунглях,239357
Театр киноактера / Teatr kinoaktera,15/08/1949,5,Встреча в джунглях,239357
Ударник / Udarnik,15/08/1949,5,Встреча в джунглях,239357
Уран / Uran,15/08/1949,5,Встреча в джунглях,239357
Форум / Forum,15/08/1949,5,Встреча в джунглях,239357
Художественный / Khudozhestvennyĭ,15/08/1949,5,Встреча в джунглях,239357
Центральный / Tsentral'nyĭ,15/08/1949,5,Встреча в джунглях,239357
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,15/08/1949,5,Встреча в джунглях,239357
Шторм / Shtorm,15/08/1949,5,Встреча в джунглях,239357
Эрмитаж / Ėrmitazh,15/08/1949,5,Встреча в джунглях,239357
Наука и знание / Nauka i znanie,15/08/1949,1,Высокая награда,337446
Таганский / Taganskiĭ,15/08/1949,1,Гаврош,175649
Перекоп / Perekop,15/08/1949,1,Голубые дороги,175679
Призыв / Prizyv,15/08/1949,1,Дети капитана Гранта,27516
Искра / Iskra,15/08/1949,1,Его зовут Сухэ-Батор,35578
Родина / Rodina,15/08/1949,1,Зоя,37482
Луч / Luch,15/08/1949,5,Летучая мышь,37705
Экспресс / Ėkspress,15/08/1949,17,Мишка-аристократ,41676
Диск / Disk,15/08/1949,1,Мы из Кронштадта,28012
Смена / Smena,15/08/1949,4,На границе,30489
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,15/08/1949,1,На границе,30489
Наука и знание / Nauka i znanie,15/08/1949,3,Научно-популярные фильмы,Unknown
Молот / Molot,15/08/1949,5,Нашествие,37937
Луч / Luch,15/08/1949,5,Непокоренные,37941
Салют / Saliut,15/08/1949,1,Новый Гулливер,26793
Авангард / Avangard,15/08/1949,1,Остров сокровищ,25907
Родина / Rodina,15/08/1949,5,Подкидыш,18482
Заря / Zaria,15/08/1949,1,Подруги,26874
Диск / Disk,15/08/1949,5,Призвание поэта,32494
Баррикады / Barrikady,15/08/1949,1,Пятнадцатилетний капитан,38841
им. III Интернационала / im. III Internatsionala,15/08/1949,2,Райнис,41781
им. III Интернационала / im. III Internatsionala,15/08/1949,1,Рядовой Александр Матросов,173149
Смена / Smena,15/08/1949,1,Сельская учительница,39810
ПКиО Сокольники / PKIO Sokol'niki,15/08/1949,1,Слон и веревочка,170584
Луч / Luch,15/08/1949,1,Сталинградская битва 1 серия,41916
Молот / Molot,15/08/1949,4,Трактористы,32050
Октябрь / Oktiabr',15/08/1949,3,Цирк,28420
Октябрь / Oktiabr',15/08/1949,1,Человек с ружьем,29986
Спартак / Spartak,16/08/1949,4,Девушка из Неаполя,26188
Эрмитаж / Ėrmitazh,16/08/1949,1,Дубровский,27554
Заря / Zaria,16/08/1949,1,Летучая мышь,37705
Арс / Ars,16/08/1949,4,Любимая девушка,173996
Заря / Zaria,16/08/1949,3,Малахов курган,37043
Уран / Uran,16/08/1949,1,Поединок,37914
им. III Интернационала / im. III Internatsionala,16/08/1949,4,Поезд идет на Восток,41755
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,16/08/1949,7,Поезд идет на Восток,41755
Авангард / Avangard,16/08/1949,3,Призвание поэта,32494
Аквариум / Akvarium,16/08/1949,4,Призвание поэта,32494
Баррикады / Barrikady,16/08/1949,4,Призвание поэта,32494
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,16/08/1949,4,Призвание поэта,32494
Искра / Iskra,16/08/1949,3,Призвание поэта,32494
Мир / Mir,16/08/1949,4,Призвание поэта,32494
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,16/08/1949,7,Пропавшая грамота,239843
Авангард / Avangard,16/08/1949,2,Райнис,41781
Искра / Iskra,16/08/1949,3,Сердца четырех,38533
Смена / Smena,16/08/1949,3,Степан Разин,31978
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,16/08/1949,1,Цветной киносборник №22 1949 г.,Unknown
Диск / Disk,17/08/1949,3,Боксеры,1989466
Аврора / Avrora,17/08/1949,3,Большая жизнь,32268
Баррикады / Barrikady,17/08/1949,3,В дальнем плавании,306181
Наука и знание / Nauka i znanie,17/08/1949,3,Во имя жизни,39085
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,17/08/1949,3,Город поэта,Unknown
Метрополь / Metropol',17/08/1949,17,Мишка-аристократ,41676
Салют / Saliut,17/08/1949,2,Мужество,31687
Новости дня / Novosti dnia,17/08/1949,6,Мультипликационные фильмы,Unknown
Заря / Zaria,17/08/1949,2,Ошибка инженера Кочина,175993
Театр киноактера / Teatr kinoaktera,17/08/1949,6,Петр Первый 1 серия,29405
Аврора / Avrora,17/08/1949,3,Призвание поэта,32494
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,17/08/1949,15,Цветной киносборник №22 1949 г.,Unknown
Наука и знание / Nauka i znanie,17/08/1949,3,Цветной киносборник №22 1949 г.,Unknown
Хроника / Khronika,17/08/1949,15,Цветной киносборник №22 1949 г.,Unknown
Хроника / Khronika,17/08/1949,7,Школа русских мастеров-художников,Unknown
Аквариум / Akvarium,18/08/1949,2,Антон Иванович сердится,33346
Авангард / Avangard,18/08/1949,2,Весна,39954
Эрмитаж / Ėrmitazh,18/08/1949,1,Жила-была девочка,37479
Мир / Mir,18/08/1949,1,Марите,39610
Уран / Uran,18/08/1949,1,Миклухо-Маклай,40972
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,18/08/1949,1,Морской ястреб,239667
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,18/08/1949,13,Свадьба,37332
Спартак / Spartak,18/08/1949,2,Свинарка и пастух,34249
Октябрь / Oktiabr',18/08/1949,2,Сказание о земле сибирской,39833
Молот / Molot,18/08/1949,1,Цветной киносборник №22 1949 г.,Unknown
Салют / Saliut,19/08/1949,1,Во имя жизни,39085
Авангард / Avangard,19/08/1949,5,Дорога на эшафот,32587
Заря / Zaria,19/08/1949,4,Жди меня,36558
Искра / Iskra,19/08/1949,1,Жизнь в цитадели,40014
Молот / Molot,19/08/1949,15,Комендант птичьего острова,22065
Мир / Mir,19/08/1949,1,Машенька,35044
Кадр / Kadr,19/08/1949,6,Нищий студент,27351
Заря / Zaria,19/08/1949,4,Парень из нашего города,33801
Кадр / Kadr,19/08/1949,6,Партийный билет,28089
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,19/08/1949,1,Призвание поэта,32494
Искра / Iskra,19/08/1949,1,Сельская учительница,39810
Наука и знание / Nauka i znanie,19/08/1949,5,Советская Украина 1949 г.,Unknown: kinopoisk.ru
Смена / Smena,19/08/1949,6,Судьба балерины,28851
Смена / Smena,19/08/1949,1,Трактористы,32050
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,19/08/1949,1,Центр нападения,240135
Наука и знание / Nauka i znanie,22/08/1949,9,Без вины виноватые,37540
Аврора / Avrora,22/08/1949,1,Белый клык,166520
Аквариум / Akvarium,22/08/1949,4,Большая жизнь,32268
Баррикады / Barrikady,22/08/1949,12,Встреча в джунглях,239357
Диск / Disk,22/08/1949,9,Встреча в джунглях,239357
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,22/08/1949,2,Встреча на Эльбе,42029
Мир / Mir,22/08/1949,1,Доктор Калюжный,230149
Диск / Disk,22/08/1949,5,Истребители,31498
Спартак / Spartak,22/08/1949,3,Малахов курган,37043
Родина / Rodina,22/08/1949,2,Маскарад,33886
Арс / Ars,22/08/1949,2,Машенька,35044
Октябрь / Oktiabr',22/08/1949,2,Мечта,33889
Спартак / Spartak,22/08/1949,3,Мечта,33889
Аврора / Avrora,22/08/1949,1,Моя любовь,32812
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,22/08/1949,3,Моя любовь,32812
Динамо / Dinamo,22/08/1949,12,Невидимый идет по городу,24724
Ждановский ПКиО / Zhdanovskiĭ PKiO ,22/08/1949,10,Невидимый идет по городу,24724
им. III Интернационала / im. III Internatsionala,22/08/1949,9,Невидимый идет по городу,24724
Колизей / Kolizeĭ,22/08/1949,12,Невидимый идет по городу,24724
Метрополь / Metropol',22/08/1949,12,Невидимый идет по городу,24724
Москва / Moskva,22/08/1949,12,Невидимый идет по городу,24724
Орион / Orion,22/08/1949,12,Невидимый идет по городу,24724
Перекоп / Perekop,22/08/1949,9,Невидимый идет по городу,24724
Победа / Pobeda,22/08/1949,12,Невидимый идет по городу,24724
Призыв / Prizyv,22/08/1949,12,Невидимый идет по городу,24724
Родина / Rodina,22/08/1949,12,Невидимый идет по городу,24724
Салют / Saliut,22/08/1949,12,Невидимый идет по городу,24724
ПКиО Сокольники / PKIO Sokol'niki,22/08/1949,10,Невидимый идет по городу,24724
Таганский / Taganskiĭ,22/08/1949,12,Невидимый идет по городу,24724
Театр киноактера / Teatr kinoaktera,22/08/1949,12,Невидимый идет по городу,24724
Ударник / Udarnik,22/08/1949,12,Невидимый идет по городу,24724
Уран / Uran,22/08/1949,12,Невидимый идет по городу,24724
Форум / Forum,22/08/1949,12,Невидимый идет по городу,24724
Художественный / Khudozhestvennyĭ,22/08/1949,12,Невидимый идет по городу,24724
Центральный / Tsentral'nyĭ,22/08/1949,12,Невидимый идет по городу,24724
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,22/08/1949,12,Невидимый идет по городу,24724
Шторм / Shtorm,22/08/1949,12,Невидимый идет по городу,24724
Эрмитаж / Ėrmitazh,22/08/1949,12,Невидимый идет по городу,24724
Мир / Mir,22/08/1949,4,Они не скроются,38769
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,22/08/1949,9,Останкино,Unknown
Искра / Iskra,22/08/1949,3,Партийный билет,28089
Театр киноактера / Teatr kinoaktera,22/08/1949,1,Призвание поэта,32494
Луч / Luch,22/08/1949,2,Светлый путь,33119
Авангард / Avangard,22/08/1949,2,Свинарка и пастух,34249
Арс / Ars,22/08/1949,5,Секретарь райкома,35304
Хроника / Khronika,22/08/1949,9,Славный юбилей,Unknown
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,22/08/1949,9,Тихая поляна,6052986
Искра / Iskra,22/08/1949,3,Тринадцать,28413
Салют / Saliut,22/08/1949,3,Цирк,28420
Молот / Molot,22/08/1949,10,Цыганский барон,27238
Смена / Smena,22/08/1949,3,Член правительства,32337
Мир / Mir,23/08/1949,3,Амангельды,31037
Заря / Zaria,23/08/1949,4,Высокая награда,337446
Аврора / Avrora,23/08/1949,1,Конек-Горбунок,50604
Аврора / Avrora,23/08/1949,6,Маскарад,33886
им. III Интернационала / im. III Internatsionala,23/08/1949,4,Мы из Кронштадта,28012
Экспресс / Ėkspress,23/08/1949,9,Петр Первый 1 серия,29405
Театр киноактера / Teatr kinoaktera,23/08/1949,3,Петр Первый 2 серия,29405
Экспресс / Ėkspress,23/08/1949,9,Петр Первый 2 серия,29405
Заря / Zaria,23/08/1949,4,Пятый океан,232418
Новости дня / Novosti dnia,23/08/1949,8,Славный юбилей,Unknown
Победа / Pobeda,23/08/1949,3,Сокровища Ценского ущелья,268709
Аврора / Avrora,23/08/1949,1,Теремок,4849690
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,23/08/1949,4,Трактористы,32050
Новости дня / Novosti dnia,23/08/1949,9,Цветная мультипликационная программа,Unknown
Новости дня / Novosti dnia,23/08/1949,4,Школа русских мастеров-художников,Unknown
Орион / Orion,24/08/1949,7,Аршин Мал-Алан,37520
Авангард / Avangard,24/08/1949,10,Встреча в джунглях,239357
Аквариум / Akvarium,24/08/1949,10,Встреча в джунглях,239357
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,24/08/1949,3,Встреча в джунглях,239357
Октябрь / Oktiabr',24/08/1949,10,Встреча в джунглях,239357
Наука и знание / Nauka i znanie,24/08/1949,8,День военно-морского флота СССР,Unknown
Новости дня / Novosti dnia,24/08/1949,7,День военно-морского флота СССР,Unknown
Хроника / Khronika,24/08/1949,7,День военно-морского флота СССР,Unknown
Родина / Rodina,24/08/1949,1,Поезд идет на Восток,41755
Наука и знание / Nauka i znanie,24/08/1949,3,Цветные фильмы,Unknown
Октябрь / Oktiabr',25/08/1949,2,Аршин Мал-Алан,37520
Аврора / Avrora,25/08/1949,7,В дальнем плавании,306181
Искра / Iskra,25/08/1949,2,Весна,39954
Шторм / Shtorm,25/08/1949,7,Волга-Волга,30947
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,25/08/1949,7,Встреча в джунглях,239357
Искра / Iskra,25/08/1949,7,Встреча в джунглях,239357
Спартак / Spartak,25/08/1949,12,Встреча в джунглях,239357
Смена / Smena,25/08/1949,2,Гобсек,164612
Кадр / Kadr,25/08/1949,5,Золотая горячка,27834
Родина / Rodina,25/08/1949,7,Остров сокровищ,25907
Смена / Smena,25/08/1949,2,Призвание поэта,32494
Кадр / Kadr,25/08/1949,5,Свадьба,37332
Юный зритель / IUnyĭ zritel',25/08/1949,2,Сельская учительница,39810
Салют / Saliut,26/08/1949,1,Белый клык,166520
Луч / Luch,26/08/1949,11,Встреча в джунглях,239357
Мир / Mir,26/08/1949,4,Летучая мышь,37705
Динамо / Dinamo,26/08/1949,1,Наше сердце,174964
Молот / Molot,26/08/1949,1,Подвиг разведчика,39716
Мир / Mir,26/08/1949,1,Поколение победителей,28116
Победа / Pobeda,26/08/1949,1,Свинарка и пастух,34249
Смена / Smena,29/08/1949,3,Антон Иванович сердится,33346
Октябрь / Oktiabr',29/08/1949,3,Бакинцы,254165
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,29/08/1949,3,Без вины виноватые,37540
Перекоп / Perekop,29/08/1949,2,Большая жизнь,32268
Заря / Zaria,29/08/1949,3,Встреча в джунглях,239357
Юный зритель / IUnyĭ zritel',29/08/1949,10,Встреча в джунглях,239357
Театр киноактера / Teatr kinoaktera,29/08/1949,5,Жди меня,36558
им. III Интернационала / im. III Internatsionala,29/08/1949,3,Жизнь в цитадели,40014
Хроника / Khronika,29/08/1949,3,Звериной тропой,Unknown: kinopoisk.ru
Наука и знание / Nauka i znanie,29/08/1949,3,История одного кольца,Unknown
Динамо / Dinamo,29/08/1949,3,Каменный цветок,38666
Форум / Forum,29/08/1949,3,Кащей бессмертный,167227
Заря / Zaria,29/08/1949,3,Любимая девушка,173996
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,29/08/1949,2,Молодая гвардия 1 серия,40601
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,29/08/1949,2,Молодая гвардия 2 серия,40601
Смена / Smena,29/08/1949,3,Моя любовь,32812
Аврора / Avrora,29/08/1949,3,Музыкальная история,32825
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,29/08/1949,3,Пятый океан,232418
Арс / Ars,29/08/1949,3,Свинарка и пастух,34249
Салют / Saliut,29/08/1949,3,Секретарь райкома,35304
Диск / Disk,29/08/1949,2,Цирк,28420
Победа / Pobeda,29/08/1949,3,Чапаев,24966
Искра / Iskra,29/08/1949,2,Человек №217,37589
Мир / Mir,29/08/1949,3,Черевички,5125104
Мир / Mir,30/08/1949,4,Андалузские ночи,250957
Кадр / Kadr,30/08/1949,2,Аринка,239240
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,30/08/1949,4,Высокая награда,337446
Форум / Forum,30/08/1949,2,Мечта,33889
Кадр / Kadr,30/08/1949,2,Свадьба,37332
Призыв / Prizyv,30/08/1949,4,Сказание о земле сибирской,39833
Эрмитаж / Ėrmitazh,30/08/1949,2,Трактористы,32050
Перекоп / Perekop,31/08/1949,3,Андалузские ночи,250957
Центральный / Tsentral'nyĭ,31/08/1949,3,Боксеры,1989466
им. III Интернационала / im. III Internatsionala,31/08/1949,3,Встреча в джунглях,239357
Наука и знание / Nauka i znanie,31/08/1949,3,Гроза,25207
Родина / Rodina,31/08/1949,1,Девушка с характером,239342
Арс / Ars,31/08/1949,3,Дочь моряка,422104
Колизей / Kolizeĭ,31/08/1949,1,Истребители,31498
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,31/08/1949,1,Невидимый идет по городу,24724
Диск / Disk,31/08/1949,5,Невидимый идет по городу,24724
Перекоп / Perekop,31/08/1949,1,Поединок,37914
Орион / Orion,31/08/1949,3,Поезд идет на Восток,41755
Искра / Iskra,31/08/1949,1,Робинзон Крузо,38888
Художественный / Khudozhestvennyĭ,31/08/1949,1,Танкер Дербент,6680502
Уран / Uran,31/08/1949,1,Центр нападения,240135
Заря / Zaria,01/09/1949,4,Адмирал Нахимов,39132
Динамо / Dinamo,01/09/1949,2,Аршин Мал-Алан,37520
Экспресс / Ėkspress,01/09/1949,4,Бакинцы,254165
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,01/09/1949,9,Без вины виноватые,37540
Уран / Uran,01/09/1949,2,Бесприданница,28622
Аврора / Avrora,01/09/1949,2,В дальнем плавании,306181
Кадр / Kadr,01/09/1949,2,Великий гражданин 1 серия,29726
Родина / Rodina,01/09/1949,2,Во имя жизни,39085
Мир / Mir,01/09/1949,2,Возвращение,Unknown: kinopoisk.ru
Салют / Saliut,01/09/1949,2,Голубые дороги,175679
Шторм / Shtorm,01/09/1949,2,Далекая невеста,40264
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,01/09/1949,2,Два бойца,36782
Родина / Rodina,01/09/1949,2,Девушка с характером,239342
Наука и знание / Nauka i znanie,01/09/1949,4,День военно-морского флота СССР,Unknown
Хроника / Khronika,01/09/1949,2,День военно-морского флота СССР,Unknown
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,01/09/1949,2,День воздушного флота СССР,Unknown
Метрополь / Metropol',01/09/1949,22,День воздушного флота СССР,Unknown
Москва / Moskva,01/09/1949,2,День воздушного флота СССР,Unknown
ПКиО Сокольники / PKIO Sokol'niki,01/09/1949,2,День воздушного флота СССР,Unknown
Родина / Rodina,01/09/1949,2,День воздушного флота СССР,Unknown
Салют / Saliut,01/09/1949,2,День воздушного флота СССР,Unknown
Художественный / Khudozhestvennyĭ,01/09/1949,2,День воздушного флота СССР,Unknown
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,01/09/1949,6,День воздушного флота СССР,Unknown
Эрмитаж / Ėrmitazh,01/09/1949,2,День воздушного флота СССР,Unknown
Искра / Iskra,01/09/1949,2,Дни и ночи,37646
им. III Интернационала / im. III Internatsionala,01/09/1949,4,Жизнь в цитадели,40014
Хроника / Khronika,01/09/1949,4,Звериной тропой,Unknown: kinopoisk.ru
Заря / Zaria,01/09/1949,4,Индийская гробница 1 серия,30271
Смена / Smena,01/09/1949,4,Индийская гробница 1 серия,30271
Заря / Zaria,01/09/1949,4,Индийская гробница 2 серия,30271
Смена / Smena,01/09/1949,4,Индийская гробница 2 серия,30271
Наука и знание / Nauka i znanie,01/09/1949,4,История одного кольца,Unknown
Колизей / Kolizeĭ,01/09/1949,6,Истребители,31498
Ждановский ПКиО / Zhdanovskiĭ PKiO ,01/09/1949,2,Кутузов,36572
Луч / Luch,01/09/1949,2,Любимая девушка,173996
Форум / Forum,01/09/1949,2,Мечта,33889
Смена / Smena,01/09/1949,4,Миклухо-Маклай,40972
Арс / Ars,01/09/1949,2,Мишка-аристократ,41676
Молот / Molot,01/09/1949,2,Мишка-аристократ,41676
Аврора / Avrora,01/09/1949,2,Музыкальная история,32825
Баррикады / Barrikady,01/09/1949,4,На границе,30489
Октябрь / Oktiabr',01/09/1949,2,Насреддин в Бухаре,36196
Ждановский ПКиО / Zhdanovskiĭ PKiO ,01/09/1949,2,Невидимый идет по городу,24724
ПКиО Сокольники / PKIO Sokol'niki,01/09/1949,2,Невидимый идет по городу,24724
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,01/09/1949,17,Останкино,Unknown
Экспресс / Ėkspress,01/09/1949,4,Петр Первый 1 серия,29405
Экспресс / Ėkspress,01/09/1949,4,Петр Первый 2 серия,29405
Перекоп / Perekop,01/09/1949,2,Поединок,37914
Метрополь / Metropol',01/09/1949,2,Райнис,41781
Искра / Iskra,01/09/1949,2,Робинзон Крузо,38888
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,01/09/1949,54,Свадьба,37332
Ждановский ПКиО / Zhdanovskiĭ PKiO ,01/09/1949,2,Сердца четырех,38533
Художественный / Khudozhestvennyĭ,01/09/1949,2,Танкер Дербент,6680502
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,01/09/1949,17,Тихая поляна,6052986
Кадр / Kadr,01/09/1949,2,Учитель,32070
Новости дня / Novosti dnia,01/09/1949,2,Цветная мультипликационная программа,Unknown
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,01/09/1949,100,Цветной киносборник №22 1949 г.,Unknown
Хроника / Khronika,01/09/1949,24,Цветной киносборник №22 1949 г.,Unknown
Победа / Pobeda,01/09/1949,2,Чапаев,24966
ПКиО Сокольники / PKIO Sokol'niki,05/09/1949,5,Азамат,Unknown
Салют / Saliut,05/09/1949,3,Александр Невский,29850
Уран / Uran,05/09/1949,3,Без вины виноватые,37540
Наука и знание / Nauka i znanie,05/09/1949,10,Бесприданница,28622
Октябрь / Oktiabr',05/09/1949,5,В дальнем плавании,306181
Победа / Pobeda,05/09/1949,2,Валерий Чкалов,34353
Кадр / Kadr,05/09/1949,3,Великий гражданин 2 серия,29726
Мир / Mir,05/09/1949,2,Весна,39954
Динамо / Dinamo,05/09/1949,5,Далекая невеста,40264
Художественный / Khudozhestvennyĭ,05/09/1949,5,Девушка с характером,239342
Форум / Forum,05/09/1949,5,Дело Артамоновых,33522
Арс / Ars,05/09/1949,5,Жди меня,36558
Родина / Rodina,05/09/1949,5,Крейсер Варяг,177893
Искра / Iskra,05/09/1949,2,Маскарад,33886
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,05/09/1949,5,Мечта,33889
Молот / Molot,05/09/1949,2,Моя любовь,32812
Шторм / Shtorm,05/09/1949,5,Мужество,31687
Авангард / Avangard,05/09/1949,8,Невидимый идет по городу,24724
Аврора / Avrora,05/09/1949,5,Невидимый идет по городу,24724
Аквариум / Akvarium,05/09/1949,8,Невидимый идет по городу,24724
Арс / Ars,05/09/1949,5,Невидимый идет по городу,24724
Баррикады / Barrikady,05/09/1949,7,Невидимый идет по городу,24724
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,05/09/1949,5,Невидимый идет по городу,24724
Искра / Iskra,05/09/1949,5,Невидимый идет по городу,24724
Мир / Mir,05/09/1949,7,Невидимый идет по городу,24724
Молот / Molot,05/09/1949,5,Невидимый идет по городу,24724
Октябрь / Oktiabr',05/09/1949,3,Нищий студент,27351
Диск / Disk,05/09/1949,1,Первая перчатка,39699
Театр киноактера / Teatr kinoaktera,05/09/1949,1,Подвиг разведчика,39716
Аквариум / Akvarium,05/09/1949,5,Поединок,37914
Аврора / Avrora,05/09/1949,2,Пятый океан,232418
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,05/09/1949,5,Салават Юлаев,34147
Луч / Luch,05/09/1949,2,Свинарка и пастух,34249
Москва / Moskva,05/09/1949,5,Секретарь райкома,35304
Кадр / Kadr,05/09/1949,4,Сердца четырех,38533
Динамо / Dinamo,05/09/1949,5,Снежная фантазия,36519
Ждановский ПКиО / Zhdanovskiĭ PKiO ,05/09/1949,5,Снежная фантазия,36519
им. III Интернационала / im. III Internatsionala,05/09/1949,5,Снежная фантазия,36519
Колизей / Kolizeĭ,05/09/1949,5,Снежная фантазия,36519
Метрополь / Metropol',05/09/1949,15,Снежная фантазия,36519
Москва / Moskva,05/09/1949,5,Снежная фантазия,36519
ПКиО Сокольники / PKIO Sokol'niki,05/09/1949,5,Снежная фантазия,36519
Орион / Orion,05/09/1949,5,Снежная фантазия,36519
Перекоп / Perekop,05/09/1949,5,Снежная фантазия,36519
Победа / Pobeda,05/09/1949,2,Снежная фантазия,36519
Призыв / Prizyv,05/09/1949,5,Снежная фантазия,36519
Родина / Rodina,05/09/1949,10,Снежная фантазия,36519
Салют / Saliut,05/09/1949,5,Снежная фантазия,36519
Таганский / Taganskiĭ,05/09/1949,5,Снежная фантазия,36519
Театр киноактера / Teatr kinoaktera,05/09/1949,7,Снежная фантазия,36519
Ударник / Udarnik,05/09/1949,5,Снежная фантазия,36519
Уран / Uran,05/09/1949,5,Снежная фантазия,36519
Форум / Forum,05/09/1949,5,Снежная фантазия,36519
Художественный / Khudozhestvennyĭ,05/09/1949,5,Снежная фантазия,36519
Центральный / Tsentral'nyĭ,05/09/1949,5,Снежная фантазия,36519
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,05/09/1949,5,Снежная фантазия,36519
Шторм / Shtorm,05/09/1949,5,Снежная фантазия,36519
Эрмитаж / Ėrmitazh,05/09/1949,5,Снежная фантазия,36519
Призыв / Prizyv,05/09/1949,5,Суворов,33118
Юный зритель / IUnyĭ zritel',05/09/1949,4,Суд чести,41932
Авангард / Avangard,05/09/1949,2,Трактористы,32050
Перекоп / Perekop,05/09/1949,5,Тринадцать,28413
Новости дня / Novosti dnia,05/09/1949,27,Цветной киносборник №22 1949 г.,Unknown
Эрмитаж / Ėrmitazh,05/09/1949,5,Четвертый перископ,233434
Диск / Disk,06/09/1949,4,Бакинцы,254165
Таганский / Taganskiĭ,06/09/1949,1,Большая жизнь,32268
Заря / Zaria,06/09/1949,3,Далекая невеста,40264
им. III Интернационала / im. III Internatsionala,06/09/1949,4,День воздушного флота СССР,Unknown
Наука и знание / Nauka i znanie,06/09/1949,11,День воздушного флота СССР,Unknown
Новости дня / Novosti dnia,06/09/1949,20,День воздушного флота СССР,Unknown
Хроника / Khronika,06/09/1949,17,День воздушного флота СССР,Unknown
Ударник / Udarnik,06/09/1949,4,Дочь моряка,422104
Наука и знание / Nauka i znanie,06/09/1949,4,Закон великой любви,38267
Заря / Zaria,06/09/1949,3,"Здравствуй, Москва!",38594
Экспресс / Ėkspress,06/09/1949,12,Индийская гробница 1 серия,30271
Экспресс / Ėkspress,06/09/1949,12,Индийская гробница 2 серия,30271
Спартак / Spartak,06/09/1949,2,Истребители,31498
Смена / Smena,06/09/1949,6,Комендант птичьего острова,22065
Баррикады / Barrikady,06/09/1949,7,Котовский,36083
Центральный / Tsentral'nyĭ,06/09/1949,4,Мы из Кронштадта,28012
Ждановский ПКиО / Zhdanovskiĭ PKiO ,06/09/1949,4,Наше сердце,174964
Экспресс / Ėkspress,06/09/1949,6,Ошибка инженера Кочина,175993
Смена / Smena,06/09/1949,3,Партийный билет,28089
Диск / Disk,06/09/1949,4,Последний раунд,32702
